trip_id,arrival_time,departure_time,stop_id,stop_sequence
trip-c5771,15:14:00,15:14:00,CD_EAST,1
trip-c5771,15:45:00,15:47:00,MID_UNMATCHED,2
trip-c5771,16:01:00,16:03:00,LESHAN,3
trip-d972,32:57:00,33:10:00,CD_EAST,1
trip-d972,33:56:00,33:58:00,LESHAN,2
trip-d972b,32:57:00,33:10:00,CD_EAST,1
trip-d972b,33:56:00,33:58:00,LESHAN,2
trip-s8512,08:00:00,08:00:00,CD_SOUTH,1
trip-s8512,09:00:00,09:00:00,LESHAN,2
trip-invalid,10:00:00,10:00:00,CD_EAST,1
trip-invalid,11:00:00,11:00:00,LESHAN,2
trip-missing-times,,,CD_EAST,1
trip-missing-times,11:00:00,,LESHAN,2
trip-invalid-times,not-a-time,not-a-time,CD_EAST,1
trip-invalid-times,11:00:00,11:00:00,LESHAN,2
trip-line,10:00:00,10:00:00,CD_EAST,1
trip-line,11:00:00,11:00:00,LESHAN,2
